JuliaSAFT Database File;;;;;
PC-SAFT Unlike Parameters;;;;;
species1;SMILES1;species2;SMILES2;k;source
methane;C;n-butane;CCCC;0.022;10.1021/ie0003887
methane;C;n-pentane;CCCCC;0.024;10.1021/ie0003887
methane;C;n-hexane;CCCCCC;0.021;10.1021/ie0003887
methane;C;n-heptane;CCCCCCC;0.016;10.1021/ie0003887
methane;C;n-decane;CCCCCCCCCC;0.056;10.1021/ie0003887
methane;C;isobutane;;0.028;10.1021/ie0003887
methane;C;cyclohexane;;0.045;10.1021/ie0003887
methane;C;benzene;;0.037;10.1021/ie0003887
methane;C;toluene;;0.052;10.1021/ie0003887
methane;C;m-xylene;;0.045;10.1021/ie0003887
methane;C;tetralin;;0.075;10.1021/ie0003887
nitrogen;N#N;ethylene;C=C;0.075;10.1021/ie0003887
nitrogen;N#N;n-hexane;CCCCCC;0.119;10.1021/ie0003887
ethylene;C=C;n-heptane;CCCCCCC;0.018;10.1021/ie0003887
ethylene;C=C;propylene;C=CC;-0.001;10.1021/ie0003887
propane;CCC;n-butane;CCCC;0.003;10.1021/ie0003887
propylene;C=CC;isobutane;;-0.006;10.1021/ie0003887
pentane;CCCCC;n-heptane;CCCCCCC;0.011;10.1021/ie0003887
carbon dioxide;(O=)C=O;methane;C;0.065;10.1021/ie0003887
carbon dioxide;(O=)C=O;propane;CCC;0.109;10.1021/ie0003887
carbon dioxide;(O=)C=O;n-butane;CCCC;0.12;10.1021/ie0003887
carbon dioxide;(O=)C=O;n-pentane;CCCCC;0.143;10.1021/ie0003887
carbon dioxide;(O=)C=O;n-heptane;CCCCCCC;0.129;10.1021/ie0003887
carbon dioxide;(O=)C=O;methylcyclohexane;;0.144;10.1021/ie0003887
methanol;CO;isobutanol;;0.05;10.1021/ie010954d
methanol;CO;cyclohexane;C1CCCCC1;0.051;10.1021/ie010954d
methanol;CO;1-octanol;CCCCCCCCO;0.02;10.1021/ie010954d
ethanol;CCO;n-butane;CCCC;0.028;10.1021/ie010954d
1-propanol;CCCO;benzene;c1ccccc1;0.02;10.1021/ie010954d
1-propanol;CCCO;ethylbenzene;c1ccccc1(CC);0.023;10.1021/ie010954d
2-propanol;CC(O)C;benzene;c1ccccc1;0.021;10.1021/ie010954d
1-butanol;CCCCO;n-butane;CCCC;0.015;10.1021/ie010954d
1-pentanol;CCCCCO;benzene;c1ccccc1;0.0135;10.1021/ie010954d
water;O;1-pentanol;CCCCCO;0.016;10.1021/ie010954d
