Clapeyron Database File,,,,,,
CPA Like Parameters,,,,,,
species,SMILES,b,a,c1,n_H,n_e,source
methanol,,0.0312,4.022,0.4623,1,1,
ethanol,,0.0491,8.5164,0.7502,1,1,
propanol~|~1-propanol~|~propan-1-ol,,0.0641,11.3713,0.9601,1,1,
2-propanol~|~propan-2-ol~|~isopropanol,,0.0641,10.387,0.9621,1,1,
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,,0.0797,15.125,1.014,1,1,
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,,0.0796,16.183,0.9191,1,1,
1-pentanol~|~pentan-1-ol,,0.0952,22.159,0.926,1,1,
1-hexanol~|~hexan-1-ol,,0.1108,27.177,0.9805,1,1,
dodecanol~|~1-dodecanol~|~dodecan-1-ol,,0.2149,66.463,1.2624,1,1,
phenol,,0.0801,18.842,0.9087,1,1,
methane,,0.0291,2.32038,0.44718,0,0,
ethane,,0.0429,5.50926,0.58463,0,0,
propane~|~n-propane,,0.057834,9.118749,0.630704,0,0,
butane~|~n-butane,,0.072081,13.14274,0.707706,0,0,
pentane~|~n-pentane,,0.091008,18.198,0.79858,0,0,
hexane~|~n-hexane,,0.10789,23.681,0.8313,0,0,
heptane~|~n-heptane,,0.12535,29.178,0.9137,0,0,
octane~|~n-octane,,0.14244,34.875,0.99415,0,0,
decane~|~n-decane,,0.17865,47.389,1.13243,0,0,
toluene,,0.09214,23.375,0.80372,0,0,
cyclohexane,,0.09038,21.257,0.74265,0,0,
3-methylpentane,,0.10631,23.043,0.79961,0,0,
benzene,,0.074987,17.876,0.75766,0,0,
"butadiene~|~1,3-butadiene",,0.064613,11.747,0.69706,0,0,
isobutene~|~isobutylene~|~2-methylpropene,,0.069072,12.236,0.71721,0,0,
methylcyclohexane,,0.10871,26.449,0.77664,0,0,
water,,0.0145,1.2277,0.6736,2,2,
