Clapeyron Database File
tc-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;acentricfactor;L;M;N;v_shift
tert-butylbenzene~|~(1,1-dimethylethyl)benzene;134.21816;660.0;2970000;.267406;1.47046762331275;.999997985088349;0.49735207792188;.0016420305233145
2-phenylbutene-1~|~2-phenyl-1-butene~|~(1-methylenepropyl)-benzene;132.20228;666.0;3010000;.353568;1.28159180685064;.999956688063292;0.666005007387476;.0089601535136335
isopropylcyclopentane~|~1-methylethylcyclopentane~|~(1-methylethyl)-cyclopentane;112.21264;593.0;3040000;.302996;.847044434456241;.912412921114733;0.927403061073609;.000779714293326
(2-ethoxymethylethoxy)-2-propanol;162.22672;617.0;2630000;.93101;;;;
allyl glycidyl ether~|~(2-propenyloxy)methyl-oxirane;114.1424;629.0;3680000;.408672;.609650514512472;.839361415604921;1.42151773859193;.0034823834101692
benzyl chloride~|~(chloromethyl)benzene~|~(chloromethyl)-benzene;126.58348;686.0;3910000;.313556;.854867734854514;.76757234288357;0.871091155030108;.0111409920022713
alpha-epichlorohydrin~|~(chloromethyl)-oxirane~|~1-chloro-2,3-epoxypropane;92.5242;615.0;4900000;.252315;.12671308727713;.837848325812895;2.75580282891491;.0173383560310973
benzyl dichloride~|~(dichloromethyl)benzene~|~(dichloromethyl)-benzene;161.02854;731.0;3650000;.326391;.795613003891543;.983488689221463;1.09275943673563;.0087648028065866
(e)-(1-methyl-1-propenyl)benzene;132.20228;685.0;3010000;.356388;.713848824583462;.842048061236917;1.1447239061185;.01935528994636
trans-stilbene~|~(e)-1,1'-(1,2-ethenediyl)bis-benzene;180.24508;820.0;2740000;.487424;1.74703752913227;.945936529469414;0.577601199669955;.027691515697402
(e)-1,3-hexadiene;82.1436;521.1;3354000;.278284;.394623735244403;.830956226090443;1.56975055817479;.0047903338848084
(e)-2-decene;140.2658;619.0;2180000;.481961;.518119290586433;.79721566009845;1.68726173255197;.0142462547858902
(e)-2-dodecene~|~trans-2-dodecene;168.31896;663.0;1890000;.569275;.542940810137762;.795580635707911;1.81842183855934;.0218037418297749
(e)-2-methyl-1,3-pentadiene;68.11702;479.0;3740000;.0836524;1.27401475892793;.999910320418363;0.556381518370862;.0082223470754628
1,4-dicyano-2-butene~|~(e-)-3-hexenedinitrile;106.12524;755.0;2950000;.666805;.461882425233932;.808895116599567;2.34058633539;.0749978027452959
(e)-3-methyl-2-pentene~|~3-methyl-trans-2-pentene;84.15948;517.0;3190000;.262659;1.51946417715026;.999997865335608;0.468488110764824;.0079389364398184
(e)-4-octene~|~trans-4-octene;112.21264;573.0;2580000;.339318;.271795227964156;.828646507681579;2.21359621550759;.0078094370541183
(e,z)-2,4-hexadiene;82.1436;538.0;3350000;.275367;.324248860737081;.805533824094607;1.67085774443614;.0109805041865954
benzyl ethyl ether~|~(ethoxymethyl)-benzene;136.19098;662.0;3110000;.433236;1.07664841343564;.987939038259421;0.91651775061922;.0104674966014651
2-thiabutane~|~(methylthio)-ethane~|~methyl ethyl sulfide;76.1606;533.0;4260000;.209108;.754137221841302;.833701499084444;0.827552718162291;.0086288445623753
(phenoxymethyl)oxirane~|~(phenoxymethyl)-oxirane~|~1,2-epoxy-3-phenoxypropane;150.1745;720.0;2950000;.594274;.254381115968036;.817122760004475;3.17502447449873;.0336109050487714
benzotrichloride~|~(trichloromethyl)-benzene;195.4736;737.0;3340000;.259885;.899395151520124;.927156946645755;0.815069708191443;.0154712383065791
cis-2-phenylbutene-2~|~trans-2-phenylbutene-2~|~(z)-(1-methyl-1-propenyl)benzene;132.20228;654.0;3010000;.361021;.833042375971239;.867327619426588;1.02078991617637;.0074789759721076
(z)-1,2-dimethylcyclopentane~|~cis-1,2-dimethylcyclopentane~|~1,cis-2-dimethylcyclopentane;98.18606;565.15;3445050;.266243;.334378116855255;.821105514858441;1.65769125874031;-.0038155205356963
(z)-1,3-dimethylcyclopentane~|~1,cis-3-dimethylcyclopentane;98.18606;551.0;3445000;.27426;.527273794206759;.840891077330231;1.2605253111693;-.0138660927992532
1,3-pentadiene~|~(z)-1,3-pentadiene~|~cis-1,3-pentadiene;68.11702;499.0;3740000;.146995;1.70725103838441;.99999679627712;0.334307601422383;.0107593889685361
maleic acid~|~(z)-2-butenedioicacid;116.07216;773.0;4990000;.997587;.422902596420786;.808614255074572;3.37799813171563;.0157351201291003
dibutyl maleate~|~(z)-2-butenedioicaciddibutylester;228.2848;716.0;1900000;.899389;.591199866140815;.81283254545724;2.44273716005122;.0116779661505694
2-butenoic acid~|~(z)-2-butenoicacid;86.08924;647.0;4700000;.57228;.233000744294639;.8156721842374;3.2081872494412;.0128290197944096
(z)-2-hexene~|~cis-2-hexene;84.15948;511.4;3160000;.287374;.687597313476155;.852850524054346;1.05257754726936;.0044522993256809
2-methyl-2-pentenal~|~(z)-2-methyl-2-pentenal;98.143;605.0;3260000;.349385;.228755429818554;.808901473061019;2.30945734291074;.0244782765505987
(z)-2-octene;112.21264;572.0;2590000;.388932;.288532455234425;.853581698600365;2.49290379496271;.0082419389781993
2-pentene~|~(z)-2-pentene~|~cis-2-pentene;70.1329;475.0;3640000;.245365;.55163034023063;.823960327403925;1.1283586964318;-.0027048663441774
monoolein~|~(z)-9-octadecenoicacid-2,3-dihydroxypropylester;356.5399;856.9;1201000;1.09847;.549285105714554;.817236990011891;3.06392752030627;.064027571767949
(z,z)-9,12-octadecadienoicacid;280.44548;775.0;1410000;1.1801;.608957967800319;.816430947131509;2.97725260719162;.0419220492480001
1-(1,1-dimethylethoxy)-2-propanol~|~propylene glycol 1-tert-butyl ether;132.20074;600.7;2720000;.486341;.964076261963469;.901256576999151;1.08297822727669;.0054255876937562
p-tert-butyl styrene~|~1-(1,1-dimethylethyl)-4-ethenylbenzene;160.25544;709.0;2480000;.421575;.251813766786249;.83953034361409;2.72569003924736;.0182274040784166
dowanol dpnp ~|~dipropylene glycol n-propyl ether~|~1-(1-methyl-2-propoxyethoxy)-2-propanol;176.2533;629.0;2400000;.963095;;;;
isopropyl butyl ether~|~1-(1-methylethoxy)-butane;116.20134;549.0;2740000;.403229;.302505548010402;.804193089190723;2.14945469699717;-.0090139806292145
1-(2-hydroxyphenyl)ethanone;136.14792;707.0;4450000;.637734;;;;
